Year_Month,Fuel_Category,Zip_Code,Count
2020/07,Plug-in Hybrid,20662,3
2020/07,Plug-in Hybrid,20667,1
2020/07,Plug-in Hybrid,20670,1
2020/07,Plug-in Hybrid,20674,4
2020/07,Plug-in Hybrid,20675,3
2020/07,Plug-in Hybrid,20676,2
2020/07,Plug-in Hybrid,20677,5
2020/07,Plug-in Hybrid,20678,13
2020/07,Plug-in Hybrid,20685,12
2020/07,Plug-in Hybrid,20686,2
2020/07,Plug-in Hybrid,20688,7
2020/07,Plug-in Hybrid,20689,3
2020/07,Plug-in Hybrid,20690,1
2020/07,Plug-in Hybrid,20692,1
2020/07,Plug-in Hybrid,20693,1
2020/07,Plug-in Hybrid,20695,15
2020/07,Plug-in Hybrid,20701,1
2020/07,Plug-in Hybrid,20705,31
2020/07,Plug-in Hybrid,20706,18
2020/07,Plug-in Hybrid,20707,51
2020/07,Plug-in Hybrid,20708,24
2020/07,Plug-in Hybrid,20710,2
2020/07,Plug-in Hybrid,20711,12
2020/07,Plug-in Hybrid,20712,10
2020/07,Plug-in Hybrid,20714,8
2020/07,Plug-in Hybrid,20715,44
2020/07,Plug-in Hybrid,20716,23
2020/07,Plug-in Hybrid,20720,39
2020/07,Plug-in Hybrid,20721,46
2020/07,Plug-in Hybrid,20722,10
2020/07,Plug-in Hybrid,20723,92
2020/07,Plug-in Hybrid,20724,24
2020/07,Plug-in Hybrid,20732,21
2020/07,Plug-in Hybrid,20733,8
2020/07,Plug-in Hybrid,20735,33
2020/07,Plug-in Hybrid,20736,21
2020/07,Plug-in Hybrid,20737,18
2020/07,Plug-in Hybrid,20740,49
2020/07,Plug-in Hybrid,20743,27
2020/07,Plug-in Hybrid,20744,74
2020/07,Plug-in Hybrid,20745,16
2020/07,Plug-in Hybrid,20746,9
2020/07,Plug-in Hybrid,20747,10
2020/07,Plug-in Hybrid,20748,16
2020/07,Plug-in Hybrid,20751,6
2020/07,Plug-in Hybrid,20754,16
2020/07,Plug-in Hybrid,20755,13
2020/07,Plug-in Hybrid,20759,45
2020/07,Plug-in Hybrid,20762,1
2020/07,Plug-in Hybrid,20763,6
2020/07,Plug-in Hybrid,20764,5
2020/07,Plug-in Hybrid,20765,1
2020/07,Plug-in Hybrid,20769,16
2020/07,Plug-in Hybrid,20770,47
2020/07,Plug-in Hybrid,20772,72
2020/07,Plug-in Hybrid,20774,54
2020/07,Plug-in Hybrid,20776,12
2020/07,Plug-in Hybrid,20777,27
2020/07,Plug-in Hybrid,20778,6
2020/07,Plug-in Hybrid,20779,4
2020/07,Plug-in Hybrid,20781,31
2020/07,Plug-in Hybrid,20782,39
2020/07,Plug-in Hybrid,20783,19
2020/07,Plug-in Hybrid,20784,13
2020/07,Plug-in Hybrid,20785,31
2020/07,Plug-in Hybrid,20794,23
2020/07,Plug-in Hybrid,20812,6
2020/07,Plug-in Hybrid,20814,144
2020/07,Plug-in Hybrid,20815,199
2020/07,Plug-in Hybrid,20816,97
2020/07,Plug-in Hybrid,20817,282
2020/07,Plug-in Hybrid,20818,20
2020/07,Plug-in Hybrid,20827,1
2020/07,Plug-in Hybrid,20832,64
2020/07,Plug-in Hybrid,20833,27
2020/07,Plug-in Hybrid,20837,25
2020/07,Plug-in Hybrid,20838,1
2020/07,Plug-in Hybrid,20839,1
2020/07,Plug-in Hybrid,20841,39
2020/07,Plug-in Hybrid,20842,14
2020/07,Plug-in Hybrid,20850,179
2020/07,Plug-in Hybrid,20851,41
2020/07,Plug-in Hybrid,20852,132
2020/07,Plug-in Hybrid,20853,76
2020/07,Plug-in Hybrid,20854,298
2020/07,Plug-in Hybrid,20855,65
2020/07,Plug-in Hybrid,20860,7
2020/07,Plug-in Hybrid,20861,9
2020/07,Plug-in Hybrid,20862,4
2020/07,Plug-in Hybrid,20866,22
2020/07,Plug-in Hybrid,20868,3
2020/07,Plug-in Hybrid,20871,162
2020/07,Plug-in Hybrid,20872,39
2020/07,Plug-in Hybrid,20874,143
2020/07,Plug-in Hybrid,20876,65
2020/07,Plug-in Hybrid,20877,58
2020/07,Plug-in Hybrid,20878,262
2020/07,Plug-in Hybrid,20879,49
2020/07,Plug-in Hybrid,20880,5
2020/07,Plug-in Hybrid,20882,80
2020/07,Plug-in Hybrid,20886,57
2020/07,Plug-in Hybrid,20895,89
2020/07,Plug-in Hybrid,20896,11
2020/07,Plug-in Hybrid,20901,102
2020/07,Plug-in Hybrid,20902,99
2020/07,Plug-in Hybrid,20903,28
2020/07,Plug-in Hybrid,20904,110
2020/07,Plug-in Hybrid,20905,53
2020/07,Plug-in Hybrid,20906,118
2020/07,Plug-in Hybrid,20910,193
2020/07,Plug-in Hybrid,20912,114
2020/07,Plug-in Hybrid,21001,25
2020/07,Plug-in Hybrid,21005,1
2020/07,Plug-in Hybrid,21009,32
2020/07,Plug-in Hybrid,21010,1
2020/07,Plug-in Hybrid,21012,51
2020/07,Plug-in Hybrid,21013,9
2020/07,Plug-in Hybrid,21014,44
2020/07,Plug-in Hybrid,21015,36
2020/07,Plug-in Hybrid,21017,7
2020/07,Plug-in Hybrid,21023,2
2020/07,Plug-in Hybrid,21028,4
2020/07,Plug-in Hybrid,21029,95
2020/07,Plug-in Hybrid,21030,51
2020/07,Plug-in Hybrid,21031,2
2020/07,Plug-in Hybrid,21032,34
2020/07,Plug-in Hybrid,21034,3
2020/07,Plug-in Hybrid,21035,31
2020/07,Plug-in Hybrid,21036,14
2020/07,Plug-in Hybrid,21037,67
2020/07,Plug-in Hybrid,21040,22
2020/07,Plug-in Hybrid,21042,213
2020/07,Plug-in Hybrid,21043,135
2020/07,Plug-in Hybrid,21044,151
2020/07,Plug-in Hybrid,21045,116
2020/07,Plug-in Hybrid,21046,45
2020/07,Plug-in Hybrid,21047,16
2020/07,Plug-in Hybrid,21048,22
2020/07,Plug-in Hybrid,21050,24
2020/07,Plug-in Hybrid,21053,3
2020/07,Plug-in Hybrid,21054,32
2020/07,Plug-in Hybrid,21056,1
2020/07,Plug-in Hybrid,21057,14
2020/07,Plug-in Hybrid,21060,44
2020/07,Plug-in Hybrid,21061,45
2020/07,Plug-in Hybrid,21074,13
2020/07,Plug-in Hybrid,21075,66
2020/07,Plug-in Hybrid,21076,59
2020/07,Plug-in Hybrid,21077,1
2020/07,Plug-in Hybrid,21078,36
2020/07,Plug-in Hybrid,21082,4
2020/07,Plug-in Hybrid,21084,7
2020/07,Plug-in Hybrid,21085,13
2020/07,Plug-in Hybrid,21087,9
2020/07,Plug-in Hybrid,21090,16
2020/07,Plug-in Hybrid,21093,102
2020/07,Plug-in Hybrid,21102,12
2020/07,Plug-in Hybrid,21104,28
2020/07,Plug-in Hybrid,21108,40
