,yoy_inflation,interest_rate,fuel_price,consumer_confidence,unemployment_rate,gdp_growth
2015-10-01,0.12761656067050708,0.12,1.466,100.4912,4.7,0.42055125685901484
2015-11-01,0.4363182169185187,0.12,1.384,100.6079,4.7,0.4187900301237141
2015-12-01,0.6387247515364791,0.24,1.309,100.7051,4.6,0.41704349355145615
2016-01-01,1.2375025026943876,0.34,1.156,100.7182,4.5,0.41531146411240216
2016-02-01,0.8472775790126619,0.38,1.041,100.6808,4.4,0.28499834237351296
2016-03-01,0.8916160965521946,0.36,1.306,100.6409,4.3,0.28418841011548124
2016-04-01,1.1726257503534843,0.37,1.452,100.663,4.3,0.2833830682792022
2016-05-01,1.0784764621246223,0.37,1.596,100.7855,4.3,0.28258227794952057
2016-06-01,1.0792865347959424,0.38,1.602,100.7634,4.3,0.2817860006499411
2016-07-01,0.8683633430518256,0.39,1.428,100.6166,4.2,0.28099419833640543
2016-08-01,1.0553158595656864,0.4,1.455,100.5105,4.2,0.28020683339121916
2016-09-01,1.5486446201652182,0.4,1.44,100.4913,4.3,0.27942386861724233
2016-10-01,1.685924966243646,0.4,1.54,100.5683,4.3,0.2786452672318096
2016-11-01,1.6843334719788938,0.41,1.42,100.8979,4.2,0.27787099286120653
2016-12-01,2.0507989115119862,0.54,1.588,101.2359,4.2,0.2771010095347691
2017-01-01,2.5103933482571117,0.65,1.596,101.3843,4.1,0.276335281679549
2017-02-01,2.8103616813294208,0.66,1.574,101.372,4.0,0.230524953852475
2017-03-01,2.44119623655914,0.79,1.567,101.3411,4.0,0.22999475854148413
2017-04-01,2.176223471915395,0.9,1.67,101.3006,3.9,0.22946699647701896
2017-05-01,1.8563431667619756,0.91,1.618,101.2275,3.9,0.2289416509468917
2017-06-01,1.640565809959127,1.04,1.52,101.1198,3.9,0.22841870539169642
2017-07-01,1.7251073506566073,1.15,1.596,101.0805,4.0,0.22789814340293818
2017-08-01,1.92812155729698,1.16,1.67,101.1788,4.0,0.22737994872131734
2017-09-01,2.1805652303711787,1.15,1.823,101.3007,4.0,0.22686410523516656
2017-10-01,2.020757753132485,1.15,1.66,101.4507,4.1,0.22635059697863646
2017-11-01,2.172493864295566,1.16,1.758,101.4306,4.1,0.22583940813012096
2017-12-01,2.129930719552253,1.3,1.701,101.3479,4.0,0.22533052301061726
2018-01-01,2.151318868063945,1.41,1.823,101.3772,4.1,0.2248239260821376
2018-02-01,2.263468931091861,1.42,1.767,101.5368,4.0,0.1760060776648585
2018-03-01,2.3309497646499366,1.51,1.851,101.6359,4.0,0.1756968405472161
2018-04-01,2.4709963021052994,1.69,1.998,101.586,3.9,0.17538868816346398
2018-05-01,2.781921607842497,1.7,2.199,101.5019,3.8,0.17508161481599455
2018-06-01,2.8075506935940187,1.82,2.102,101.4451,3.8,0.17477561484722953
2018-07-01,2.854124785561929,1.91,2.117,101.4143,3.7,0.1744706826389192
2018-08-01,2.6429238568742575,1.91,2.062,101.4253,3.7,0.17416681261202455
2018-09-01,2.332055105808828,1.95,2.055,101.5069,3.7,0.17386399922629234
2018-10-01,2.492032470218053,2.19,1.983,101.4895,3.7,0.1735622369799324
2018-11-01,2.147328577667773,2.2,1.613,101.3826,3.7,0.1732615204092846
2018-12-01,2.0023809043401064,2.27,1.436,101.2158,3.7,0.17296184408848897
2019-01-01,1.4875893578291333,2.4,1.437,101.0162,3.6,0.17266320262915932
2019-02-01,1.5188615351321877,2.4,1.555,101.0692,3.5,-0.11979843648327934
2019-03-01,1.8831863513063984,2.41,1.834,101.2823,3.5,-0.11994212527405633
2019-04-01,2.000583470209061,2.42,2.029,101.4385,3.4,-0.12008615916550554
2019-05-01,1.7959105553606136,2.39,2.023,101.5244,3.4,-0.12023053940243181
2019-06-01,1.671194894390049,2.38,1.833,101.4328,3.4,-0.12037526723552225
2019-07-01,1.826331335037068,2.4,1.955,101.2061,3.4,-0.12052034392159103
2019-08-01,1.7376412106666406,2.13,1.738,100.9168,3.4,-0.12066577072347659
2019-09-01,1.6844977040391562,2.04,1.709,100.9167,3.3,-0.12081154891007792
2019-10-01,1.7339736996186295,1.83,1.704,101.115,3.3,-0.12095767975653147
2019-11-01,2.092290394862917,1.55,1.71,101.3775,3.2,-0.12110416454403844
2019-12-01,2.3195274699624457,1.55,1.704,101.6001,3.3,-0.12125100456011223
2020-01-01,2.5122643638566533,1.55,1.667,101.5985,3.4,-0.12139820109847609
2020-02-01,2.339737643050843,1.58,1.577,101.1803,3.5,0.675735057626531
2020-03-01,1.5231420852062971,0.65,1.04,100.2051,3.5,0.6711995271151902
2020-04-01,0.3498763874577149,0.05,0.673,99.14452,9.0,0.6667244755879247
