,date,total_cars_sold,seasonal_values,deseasonlised_cars_sold
71,2007-12-01,69581,-11131.382575757583,80712.38257575758
72,2008-01-01,76929,-7884.609848484848,84813.60984848485
73,2008-02-01,73756,-11809.382575757583,85565.38257575758
74,2008-03-01,83096,8072.071969696961,75023.92803030304
75,2008-04-01,89237,5053.026515151505,84183.9734848485
76,2008-05-01,84374,4876.617424242417,79497.38257575758
77,2008-06-01,85912,7374.571969696961,78537.42803030304
78,2008-07-01,86243,5040.29924242424,81202.70075757576
79,2008-08-01,79121,7201.662878787873,71919.33712121213
80,2008-09-01,77957,2246.571969696961,75710.42803030304
81,2008-10-01,73943,712.9810606060637,73230.01893939394
82,2008-11-01,56645,-9752.42803030304,66397.42803030304
83,2008-12-01,59831,-11131.382575757583,70962.38257575758
84,2009-01-01,59217,-7884.609848484848,67101.60984848485
85,2009-02-01,63087,-11809.382575757583,74896.38257575758
86,2009-03-01,74792,8072.071969696961,66719.92803030304
87,2009-04-01,76536,5053.026515151505,71482.9734848485
88,2009-05-01,70930,4876.617424242417,66053.38257575758
89,2009-06-01,81241,7374.571969696961,73866.42803030304
90,2009-07-01,80529,5040.29924242424,75488.70075757576
91,2009-08-01,77683,7201.662878787873,70481.33712121213
92,2009-09-01,80353,2246.571969696961,78106.42803030304
93,2009-10-01,71500,712.9810606060637,70787.01893939394
94,2009-11-01,61485,-9752.42803030304,71237.42803030304
95,2009-12-01,60464,-11131.382575757583,71595.38257575758
96,2010-01-01,61007,-7884.609848484848,68891.60984848485
97,2010-02-01,53741,-11809.382575757583,65550.38257575758
98,2010-03-01,84430,8072.071969696961,76357.92803030304
99,2010-04-01,87073,5053.026515151505,82019.9734848485
100,2010-05-01,76931,4876.617424242417,72054.38257575758
101,2010-06-01,86042,7374.571969696961,78667.42803030304
102,2010-07-01,78070,5040.29924242424,73029.70075757576
103,2010-08-01,80517,7201.662878787873,73315.33712121213
104,2010-09-01,78891,2246.571969696961,76644.42803030304
105,2010-10-01,72914,712.9810606060637,72201.01893939394
106,2010-11-01,68826,-9752.42803030304,78578.42803030304
107,2010-12-01,65625,-11131.382575757583,76756.38257575758
108,2011-01-01,65531,-7884.609848484848,73415.60984848485
109,2011-02-01,67327,-11809.382575757583,79136.38257575758
110,2011-03-01,93524,8072.071969696961,85451.92803030304
111,2011-04-01,83166,5053.026515151505,78112.9734848485
112,2011-05-01,79599,4876.617424242417,74722.38257575758
113,2011-06-01,86187,7374.571969696961,78812.42803030304
114,2011-07-01,73703,5040.29924242424,68662.70075757576
115,2011-08-01,80930,7201.662878787873,73728.33712121213
116,2011-09-01,75334,2246.571969696961,73087.42803030304
117,2011-10-01,72493,712.9810606060637,71780.01893939394
118,2011-11-01,69217,-9752.42803030304,78969.42803030304
119,2011-12-01,66386,-11131.382575757583,77517.38257575758
120,2012-01-01,71590,-7884.609848484848,79474.60984848485
121,2012-02-01,74999,-11809.382575757583,86808.38257575758
122,2012-03-01,90706,8072.071969696961,82633.92803030304
123,2012-04-01,84380,5053.026515151505,79326.9734848485
124,2012-05-01,84486,4876.617424242417,79609.38257575758
125,2012-06-01,82810,7374.571969696961,75435.42803030304
126,2012-07-01,78739,5040.29924242424,73698.70075757576
127,2012-08-01,84844,7201.662878787873,77642.33712121213
128,2012-09-01,77237,2246.571969696961,74990.42803030304
129,2012-10-01,80760,712.9810606060637,80047.01893939394
130,2012-11-01,69669,-9752.42803030304,79421.42803030304
131,2012-12-01,64220,-11131.382575757583,75351.38257575758
132,2013-01-01,73926,-7884.609848484848,81810.60984848485
133,2013-02-01,69523,-11809.382575757583,81332.38257575758
134,2013-03-01,90346,8072.071969696961,82273.92803030304
135,2013-04-01,92172,5053.026515151505,87118.9734848485
136,2013-05-01,91217,4876.617424242417,86340.38257575758
137,2013-06-01,84219,7374.571969696961,76844.42803030304
138,2013-07-01,89624,5040.29924242424,84583.70075757576
139,2013-08-01,85208,7201.662878787873,78006.33712121213
140,2013-09-01,83179,2246.571969696961,80932.42803030304
141,2013-10-01,82539,712.9810606060637,81826.01893939394
142,2013-11-01,70416,-9752.42803030304,80168.42803030304
143,2013-12-01,67595,-11131.382575757583,78726.38257575758
144,2014-01-01,71679,-7884.609848484848,79563.60984848485
145,2014-02-01,66356,-11809.382575757583,78165.38257575758
146,2014-03-01,83333,8072.071969696961,75260.92803030304
147,2014-04-01,91097,5053.026515151505,86043.9734848485
148,2014-05-01,88153,4876.617424242417,83276.38257575758
149,2014-06-01,91239,7374.571969696961,83864.42803030304
150,2014-07-01,93300,5040.29924242424,88259.70075757576
151,2014-08-01,87499,7201.662878787873,80297.33712121213
152,2014-09-01,91692,2246.571969696961,89445.42803030304
153,2014-10-01,88264,712.9810606060637,87551.01893939394
154,2014-11-01,68582,-9752.42803030304,78334.42803030304
155,2014-12-01,76491,-11131.382575757583,87622.38257575758
156,2015-01-01,77354,-7884.609848484848,85238.60984848485
157,2015-02-01,73468,-11809.382575757583,85277.38257575758
158,2015-03-01,88774,8072.071969696961,80701.92803030304
159,2015-04-01,96590,5053.026515151505,91536.9734848485
160,2015-05-01,87189,4876.617424242417,82312.38257575758
161,2015-06-01,88819,7374.571969696961,81444.42803030304
162,2015-07-01,97099,5040.29924242424,92058.70075757576
163,2015-08-01,91393,7201.662878787873,84191.33712121213
164,2015-09-01,94336,2246.571969696961,92089.42803030304
165,2015-10-01,93506,712.9810606060637,92793.01893939394
166,2015-11-01,80182,-9752.42803030304,89934.42803030304
167,2015-12-01,85654,-11131.382575757583,96785.38257575758
168,2016-01-01,71120,-7884.609848484848,79004.60984848485
169,2016-02-01,82441,-11809.382575757583,94250.38257575758
170,2016-03-01,103838,8072.071969696961,95765.92803030304
171,2016-04-01,96580,5053.026515151505,91526.9734848485
172,2016-05-01,97184,4876.617424242417,92307.38257575758
173,2016-06-01,103116,7374.571969696961,95741.42803030304
174,2016-07-01,92181,5040.29924242424,87140.70075757576
175,2016-08-01,100832,7201.662878787873,93630.33712121213
176,2016-09-01,94600,2246.571969696961,92353.42803030304
177,2016-10-01,88760,712.9810606060637,88047.01893939394
178,2016-11-01,83418,-9752.42803030304,93170.42803030304
179,2016-12-01,82439,-11131.382575757583,93570.38257575758
180,2017-01-01,85410,-7884.609848484848,93294.60984848485
181,2017-02-01,78402,-11809.382575757583,90211.38257575758
182,2017-03-01,100555,8072.071969696961,92482.92803030304
183,2017-04-01,88875,5053.026515151505,83821.9734848485
184,2017-05-01,97227,4876.617424242417,92350.38257575758
185,2017-06-01,99662,7374.571969696961,92287.42803030304
186,2017-07-01,90703,5040.29924242424,85662.70075757576
187,2017-08-01,99381,7201.662878787873,92179.33712121213
188,2017-09-01,88100,2246.571969696961,85853.42803030304
189,2017-10-01,91803,712.9810606060637,91090.01893939394
190,2017-11-01,82117,-9752.42803030304,91869.42803030304
191,2017-12-01,76205,-11131.382575757583,87336.38257575758
192,2018-01-01,83883,-7884.609848484848,91767.60984848485
193,2018-02-01,75987,-11809.382575757583,87796.38257575758
194,2018-03-01,94202,8072.071969696961,86129.92803030304
195,2018-04-01,92776,5053.026515151505,87722.9734848485
196,2018-05-01,98482,4876.617424242417,93605.38257575758
197,2018-06-01,96379,7374.571969696961,89004.42803030304
198,2018-07-01,97459,5040.29924242424,92418.70075757576
199,2018-08-01,100055,7201.662878787873,92853.33712121213
200,2018-09-01,85663,2246.571969696961,83416.42803030304
201,2018-10-01,95482,712.9810606060637,94769.01893939394
202,2018-11-01,82326,-9752.42803030304,92078.42803030304
203,2018-12-01,80131,-11131.382575757583,91262.38257575758
204,2019-01-01,89997,-7884.609848484848,97881.60984848485
205,2019-02-01,74272,-11809.382575757583,86081.38257575758
206,2019-03-01,93507,8072.071969696961,85434.92803030304
207,2019-04-01,100513,5053.026515151505,95459.9734848485
208,2019-05-01,98638,4876.617424242417,93761.38257575758
209,2019-06-01,92264,7374.571969696961,84889.42803030304
210,2019-07-01,99398,5040.29924242424,94357.70075757576
211,2019-08-01,95558,7201.662878787873,88356.33712121213
212,2019-09-01,92437,2246.571969696961,90190.42803030304
213,2019-10-01,95548,712.9810606060637,94835.01893939394
214,2019-11-01,78907,-9752.42803030304,88659.42803030304
215,2019-12-01,80328,-11131.382575757583,91459.38257575758
216,2020-01-01,85281,-7884.609848484848,93165.60984848485
217,2020-02-01,77376,-11809.382575757583,89185.38257575758
218,2020-03-01,82836,8072.071969696961,74763.92803030304
219,2020-04-01,43120,5053.026515151505,38066.973484848495
220,2020-05-01,52407,4876.617424242417,47530.38257575758
221,2020-06-01,87099,7374.571969696961,79724.42803030304
222,2020-07-01,88095,5040.29924242424,83054.70075757576
223,2020-08-01,86700,7201.662878787873,79498.33712121213
224,2020-09-01,81768,2246.571969696961,79521.42803030304
225,2020-10-01,74105,712.9810606060637,73392.01893939394
226,2020-11-01,71785,-9752.42803030304,81537.42803030304
227,2020-12-01,72488,-11131.382575757583,83619.38257575758
228,2021-01-01,69608,-7884.609848484848,77492.60984848485
229,2021-02-01,62885,-11809.382575757583,74694.38257575758
230,2021-03-01,101204,8072.071969696961,93131.92803030304
231,2021-04-01,96661,5053.026515151505,91607.9734848485
232,2021-05-01,94339,4876.617424242417,89462.38257575758
233,2021-06-01,84017,7374.571969696961,76642.42803030304
234,2021-07-01,83638,5040.29924242424,78597.70075757576
