,seasonal_component,cyclical_component,average,calculated_cars_sold
90,4746.272727272735,-8976.674325615895,83848.27272727275,79617.87112892959
91,6265.454545454559,-9336.752364344371,83848.27272727275,80776.97490838294
92,1952.5454545454559,-9680.080586363969,83848.27272727275,76120.73759545424
93,418.9545454545587,-10006.005446890558,83848.27272727275,74261.22182583675
94,-9552.954545454544,-10313.906529427783,83848.27272727275,63981.41165239042
95,-11425.409090909088,-10603.19772676508,83848.27272727275,61819.66590959858
96,-8178.636363636353,-10873.328356666068,83848.27272727275,64796.30800697033
97,-11696.318181818177,-11123.78421012353,83848.27272727275,61028.170335331044
98,7778.045454545456,-11354.0885301854,83848.27272727275,80272.2296516328
99,6449.409090909103,-11563.802919488822,83848.27272727275,78733.87889869303
100,5842.818181818191,-11752.528174774357,83848.27272727275,77938.56273431658
101,7399.818181818191,-11919.905046792148,83848.27272727275,79328.1858622988
102,4746.272727272735,-12065.614924153211,83848.27272727275,76528.93053039227
103,6265.454545454559,-12189.380439824366,83848.27272727275,77924.34683290294
104,1952.5454545454559,-12290.965999112203,83848.27272727275,73509.852182706
105,418.9545454545587,-12370.178228130826,83848.27272727275,71897.04904459648
106,-9552.954545454544,-12426.866341900211,83848.27272727275,61868.451839917994
107,-11425.409090909088,-12460.922431373823,83848.27272727275,59961.94120498984
108,-8178.636363636353,-12472.28166884974,83848.27272727275,63197.354694786656
109,-11696.318181818177,-12460.922431373823,83848.27272727275,59691.03211408075
110,7778.045454545456,-12426.866341900211,83848.27272727275,79199.451839918
111,6449.409090909103,-12370.17822813084,83848.27272727275,77927.50359005101
112,5842.818181818191,-12290.965999112203,83848.27272727275,77400.12490997874
113,7399.818181818191,-12189.380439824381,83848.27272727275,79058.71046926656
114,4746.272727272735,-12065.614924153211,83848.27272727275,76528.93053039227
115,6265.454545454559,-11919.905046792148,83848.27272727275,78193.82222593516
116,1952.5454545454559,-11752.528174774372,83848.27272727275,74048.29000704383
117,418.9545454545587,-11563.802919488822,83848.27272727275,72703.42435323849
118,-9552.954545454544,-11354.088530185414,83848.27272727275,62941.22965163279
119,-11425.409090909088,-11123.78421012353,83848.27272727275,61299.07942624013
120,-8178.636363636353,-10873.328356666068,83848.27272727275,64796.30800697033
121,-11696.318181818177,-10603.19772676508,83848.27272727275,61548.75681868949
122,7778.045454545456,-10313.906529427797,83848.27272727275,81312.41165239041
123,6449.409090909103,-10006.005446890558,83848.27272727275,80291.6763712913
124,5842.818181818191,-9680.080586363969,83848.27272727275,80011.01032272697
125,7399.818181818191,-9336.752364344371,83848.27272727275,81911.33854474657
126,4746.272727272735,-8976.674325615895,83848.27272727275,79617.87112892959
127,6265.454545454559,-8600.531899190755,83848.27272727275,81513.19537353655
128,1952.5454545454559,-8209.041093556167,83848.27272727275,77591.77708826204
129,418.9545454545587,-7802.947133711583,83848.27272727275,76464.28013901573
130,-9552.954545454544,-7383.023042590401,83848.27272727275,66912.2951392278
131,-11425.409090909088,-6950.068169567006,83848.27272727275,65472.795466796655
132,-8178.636363636353,-6504.906668849755,83848.27272727275,69164.72969478664
133,-11696.318181818177,-6048.385930656572,83848.27272727275,66103.568614798
134,7778.045454545456,-5581.3749681595655,83848.27272727275,86044.94321365864
135,6449.409090909103,-5104.762763268998,83848.27272727275,85192.91905491285
136,5842.818181818191,-4619.456574405776,83848.27272727275,85071.63433468516
137,7399.818181818191,-4126.380209483381,83848.27272727275,87121.71069960756
138,4746.272727272735,-3626.4722673870565,83848.27272727275,84968.07318715843
139,6265.454545454559,-3120.6843512975174,83848.27272727275,86993.04292142979
140,1952.5454545454559,-2609.9792572601436,83848.27272727275,83190.83892455806
141,418.9545454545587,-2095.3291414480045,83848.27272727275,82171.8981312793
142,-9552.954545454544,-1577.7136696073576,83848.27272727275,72717.60451221085
143,-11425.409090909088,-1058.1181522081897,83848.27272727275,71364.74548415547
144,-8178.636363636353,-537.5316688497405,83848.27272727275,75132.10469478666
145,-11696.318181818177,-16.945185491305892,83848.27272727275,72135.00935996327
146,7778.045454545456,502.650331907862,83848.27272727275,92128.96851372607
147,6449.409090909103,1020.2658037485235,83848.27272727275,91317.94762193038
148,5842.818181818191,1534.915919560648,83848.27272727275,91226.00682865159
149,7399.818181818191,2045.6210135980218,83848.27272727275,93293.71192268896
150,4746.272727272735,2551.408929687561,83848.27272727275,91145.95438423305
151,6265.454545454559,3051.3168717838853,83848.27272727275,93165.0441445112
152,1952.5454545454559,3544.3932367062807,83848.27272727275,89345.21141852449
153,418.9545454545587,4029.699425569517,83848.27272727275,88296.92669829683
154,-9552.954545454544,4506.31163046007,83848.27272727275,78801.62981227828
155,-11425.409090909088,4973.322592957076,83848.27272727275,77396.18622932074
156,-8178.636363636353,5429.8433311502595,83848.27272727275,81099.47969478666
157,-11696.318181818177,5875.004831867525,83848.27272727275,78026.9593773221
