,yoy_inflation
2017-01-01,2.5103933482571117
2017-02-01,2.8103616813294208
2017-03-01,2.44119623655914
2017-04-01,2.176223471915395
2017-05-01,1.8563431667619756
2017-06-01,1.640565809959127
2017-07-01,1.7251073506566073
2017-08-01,1.92812155729698
2017-09-01,2.1805652303711787
2017-10-01,2.020757753132485
2017-11-01,2.172493864295566
2017-12-01,2.129930719552253
2018-01-01,2.151318868063945
2018-02-01,2.263468931091861
2018-03-01,2.3309497646499366
2018-04-01,2.4709963021052994
2018-05-01,2.781921607842497
2018-06-01,2.8075506935940187
2018-07-01,2.854124785561929
2018-08-01,2.6429238568742575
2018-09-01,2.332055105808828
2018-10-01,2.492032470218053
2018-11-01,2.147328577667773
2018-12-01,2.0023809043401064
2019-01-01,1.4875893578291333
2019-02-01,1.5188615351321877
2019-03-01,1.8831863513063984
2019-04-01,2.000583470209061
2019-05-01,1.7959105553606136
2019-06-01,1.671194894390049
2019-07-01,1.826331335037068
2019-08-01,1.7376412106666406
2019-09-01,1.6844977040391562
2019-10-01,1.7339736996186295
2019-11-01,2.092290394862917
2019-12-01,2.3195274699624457
2020-01-01,2.5122643638566533
2020-02-01,2.339737643050843
2020-03-01,1.5231420852062971
2020-04-01,0.3498763874577149
2020-05-01,0.21621960391076112
2020-06-01,0.7017667595302868
2020-07-01,1.0187566946310067
2020-08-01,1.3005983533565635
2020-09-01,1.373084272511016
2020-10-01,1.2031654060780772
2020-11-01,1.169540753609244
2020-12-01,1.3049530216912242
2021-01-01,1.3951009246599089
2021-02-01,1.6729284154818336
2021-03-01,2.6186325779585795
2021-04-01,4.148739292379555
2021-05-01,4.926362527750849
2021-06-01,5.315092372103147
2021-07-01,5.25757716479367
2021-08-01,5.175312107215291
2021-09-01,5.361010344257178
2021-10-01,6.219044069333601
2021-11-01,6.862530903236941
2021-12-01,7.176580599606885
2022-01-01,7.5697666445729395
2022-02-01,7.948919315737357
2022-03-01,8.547431203050081
2022-04-01,8.251859404990402
2022-05-01,8.532996587844366
2022-06-01,8.989743741317646
2022-07-01,8.449818746001725
2022-08-01,8.218806476800754
2022-09-01,8.19827154994579
2022-10-01,7.7519407887596925
2022-11-01,7.119465995215202
2022-12-01,6.411498247913161
2023-01-01,6.362123304649603
2023-02-01,5.965522694923298
2023-03-01,4.935090226845151
2023-04-01,4.941059134795189
2023-05-01,4.120689595996696
2023-06-01,3.053261739142221
2023-07-01,3.271780511700917
2023-08-01,3.718721312697104
2023-09-01,3.6940551594278226
2023-10-01,3.2457874929078256
2023-11-01,3.1394819319064515
2023-12-01,3.3231597124613543
